created_at,username,text,prepros_text,text_join,label
Fri Sep 22 16:05:37 +0000 2023,DahrinOde,"Saya merasa sedih klu tokoh perempuan NU terbaik Jawa Timur yang menjadi daerah inti Kerajaan Msjapahit, rela menjadi alat politik calon penjajah, Anies Rasyid Baswedan Non Pribumi etnis Arab totok. Orang Jawa Timur itu cirinya ksatria,  bukan pembantu!  https://t.co/BDp78BHy2H",saya merasa sedih klu tokoh perempuan nu terbaik jawa timur yang menjadi daerah inti kerajaan msjapahit rela menjadi alat politik calon penjajah anies rasyid baswedan non pribumi etnis arab totok orang jawa timur itu cirinya ksatria bukan pembantu,sedih klu tokoh perempuan nu baik jawa timur daerah inti raja msjapahit rela alat politik calon jajah anies rasyid baswedan non pribumi etnis arab totok orang jawa timur ciri ksatria bantu,black-campaign
Mon Sep 18 08:38:13 +0000 2023,frenkyf1,@CutSarina5 @Puspen_TNI Ada dari keluarga kerajaan arab saudi masih keturunan raja dan besar di Indonesia sedang memperjuangkan ini dan sedang promosikan Anies jika ingin Anies jadi Presiden maka Arab Saudi harus All out mendukungnya tapi orang Indonesia gimana mau gak?,tni ada dari keluarga kerajaan arab saudi masih keturunan raja dan besar di indonesia sedang memperjuangkan ini dan sedang promosikan anies jika ingin anies jadi presiden maka arab saudi harus all out mendukungnya tapi orang indonesia gimana mau gak,tni keluarga raja arab saudi turun raja indonesia juang promosi anies anies presiden arab saudi all out dukung orang indonesia gimana,black-campaign
Fri Sep 01 02:37:57 +0000 2023,MulyadiSaediman,@SlametR06751672 Anies berhaji bukan di undang oleh kerajaan tapi ikut travel plus . Krn sdh kadung bicara dpt undangan khusus kerajaan jd berdrama seterusnya.. askar bisa di bayar jg bisa atas permintaan dr Kedubes RI di Arab Saudi disana Anies punya kolega.. semua di atur dan kameramen bekerja,anies berhaji bukan di undang oleh kerajaan tapi ikut travel plus krn sdh kadung bicara dpt undangan khusus kerajaan jd berdrama seterusnya askar bisa di bayar jg bisa atas permintaan dr kedubes ri di arab saudi disana anies punya kolega semua di atur dan kameramen bekerja,anies haj undang raja travel plus kadung bicara dpt undang khusus raja drama askar bayar jg minta dr dubes ri arab saudi sana anies kolega atur kameramen,black-campaign
Mon Aug 14 02:10:48 +0000 2023,AbaJijeh,"@ch_chotimah2 @erickthohir Haha, yg jlsÂ² aj pak Anies diundang kerajaan arab pegi haji, disambut, dijamu pangeran arab, masih aja klian selewengkan macamÂ²..hidup koq se naif itu bong.",chotimah haha yg jls aj pak anies diundang kerajaan arab pegi haji disambut dijamu pangeran arab masih aja klian selewengkan macamhidup koq se naif itu bong,chotimah haha jls aj anies undang raja arab pegi haji sambut jamu pangeran arab klian seleweng macamhidup koq naif bong,black-campaign
Wed Aug 09 16:05:41 +0000 2023,Orang_dalam10,"Anies bersana keluarga selain menunaikan ibadah haji, ia ternyata mendapat undangan haji khusus dari kerajaan arab saudi betapa mulianya Anies Baswedan..  @AniesIndonesia @abwnews_",anies bersana keluarga selain menunaikan ibadah haji ia ternyata mendapat undangan haji khusus dari kerajaan arab saudi betapa mulianya anies baswedan,anies sana keluarga tunai ibadah haji undang haji khusus raja arab saudi betapa mulia anies baswedan,black-campaign
Wed Aug 09 16:05:28 +0000 2023,hambaa11ah,"Anies bersana keluarga selain menunaikan ibadah haji, ia ternyata mendapat undangan haji khusus dari kerajaan arab saudi betapa mulianya Anies Baswedan..  @AniesIndonesia @abwnews_",anies bersana keluarga selain menunaikan ibadah haji ia ternyata mendapat undangan haji khusus dari kerajaan arab saudi betapa mulianya anies baswedan,anies sana keluarga tunai ibadah haji undang haji khusus raja arab saudi betapa mulia anies baswedan,black-campaign
Wed Aug 09 07:31:49 +0000 2023,pan_chaniago,"Pas lagi ngeliat postingan Anies bersana keluarga selain menunaikan ibadah haji"", ia ternyata mendapat undangan haji husus dari kerajaan arab saudi lo. Hebat bener ni presiden masa depan IndonesiaðŸ‘ðŸ‘@sobat_anies @AniesIndonesia https://t.co/PD9DnjAAGg""",pas lagi ngeliat postingan anies bersana keluarga selain menunaikan ibadah haji ia ternyata mendapat undangan haji husus dari kerajaan arab saudi lo hebat bener ni presiden masa depan indonesia anies,pas ngeliat postingan anies sana keluarga tunai ibadah haji undang haji husus raja arab saudi lo hebat bener ni presiden indonesia anies,black-campaign
Wed Aug 09 06:36:31 +0000 2023,ppk_koba24,"Capres Anies bersana keluarga selain menunaikan ibadah haji, ia ternyata mendapat undangan haji husus dari kerajaan arab saudi @_nanachii @BangsatSek69769 @hermanfiveperMC https://t.co/OPhsmETF3v",capres anies bersana keluarga selain menunaikan ibadah haji ia ternyata mendapat undangan haji husus dari kerajaan arab saudi nanachii,capres anies sana keluarga tunai ibadah haji undang haji husus raja arab saudi nanachii,black-campaign
Wed Aug 09 05:55:35 +0000 2023,AneukTimur43038,"Anies bersana keluarga selain menunaikan ibadah haji, ia ternyata mendapat undangan haji husus dari kerajaan arab saudi @abwnews_",anies bersana keluarga selain menunaikan ibadah haji ia ternyata mendapat undangan haji husus dari kerajaan arab saudi,anies sana keluarga tunai ibadah haji undang haji husus raja arab saudi,black-campaign
Fri Jul 28 00:17:52 +0000 2023,djoniecash2,Lawannya anies itu bukan ganjar ato prabowo.  Tapi pemerintah indonesia dan cina.  Kemarin anies bertemu kerajaan arab. Sekarang jokowi ketemu jinping.  Arab vs cina.  Islam vs komunis.  https://t.co/iAKBemfWd2,lawannya anies itu bukan ganjar ato prabowo tapi pemerintah indonesia dan cina kemarin anies bertemu kerajaan arab sekarang jokowi ketemu jinping arab vs cina islam vs komunis,lawan anies ganjar ato prabowo perintah indonesia cina kemarin anies temu raja arab jokowi ketemu jinping arab vs cina islam vs komunis,black-campaign
